teensy_ms,esp_ms,sensor,accel_x,accel_y,accel_z,magnitude
42301,41182,IMU,0.11,-0.40,7.80,7.81
42401,41282,IMU,0.12,-0.38,7.75,7.76
42501,41382,IMU,0.09,-0.38,7.76,7.77
42601,41482,IMU,0.11,-0.37,7.72,7.73
42781,41663,IMU,0.13,-0.40,7.77,7.78
42801,41682,IMU,0.08,-0.36,7.73,7.74
42901,41782,IMU,0.10,-0.37,7.71,7.72
43001,41882,IMU,0.09,-0.37,7.75,7.76
43101,41982,IMU,0.10,-0.39,7.70,7.71
43201,42082,IMU,0.12,-0.41,7.77,7.79
43301,42182,IMU,0.12,-0.37,7.77,7.78
43401,42282,IMU,0.11,-0.41,7.72,7.73
43501,42382,IMU,0.11,-0.40,7.74,7.75
43601,42482,IMU,0.10,-0.37,7.76,7.77
43701,42582,IMU,0.11,-0.36,7.75,7.76
43801,42682,IMU,0.11,-0.38,7.71,7.72
43901,42782,IMU,0.10,-0.39,7.75,7.76
44001,42882,IMU,0.08,-0.38,7.72,7.73
44101,42982,IMU,0.10,-0.39,7.75,7.76
44201,43082,IMU,0.11,-0.38,7.76,7.77
44301,43182,IMU,0.09,-0.38,7.75,7.76
44401,43282,IMU,0.11,-0.37,7.74,7.75
44501,43382,IMU,0.10,-0.38,7.72,7.73
44601,43482,IMU,0.10,-0.38,7.75,7.76
44781,43663,IMU,0.09,-0.39,7.74,7.75
44801,43682,IMU,0.10,-0.40,7.74,7.75
44901,43782,IMU,0.09,-0.39,7.76,7.77
45001,43882,IMU,0.09,-0.38,7.71,7.72
45101,43982,IMU,0.10,-0.37,7.71,7.72
45201,44082,IMU,0.12,-0.39,7.75,7.76
45301,44182,IMU,0.10,-0.38,7.73,7.74
45401,44282,IMU,0.10,-0.40,7.74,7.75
45501,44382,IMU,0.12,-0.39,7.75,7.76
45601,44482,IMU,0.11,-0.38,7.75,7.76
45701,44582,IMU,0.12,-0.37,7.73,7.74
45801,44682,IMU,0.09,-0.38,7.74,7.75
45901,44782,IMU,0.12,-0.38,7.74,7.75
46001,44882,IMU,0.10,-0.37,7.75,7.76
46101,44982,IMU,0.10,-0.37,7.75,7.75
46201,45082,IMU,0.10,-0.38,7.73,7.74
46301,45182,IMU,0.10,-0.38,7.75,7.76
46401,45282,IMU,0.09,-0.38,7.74,7.75
46501,45382,IMU,0.09,-0.38,7.72,7.73
46601,45482,IMU,0.09,-0.39,7.75,7.76
46781,45663,IMU,0.09,-0.38,7.77,7.78
46801,45682,IMU,0.11,-0.38,7.73,7.74
46901,45782,IMU,0.10,-0.38,7.74,7.75
47001,45882,IMU,0.09,-0.37,7.75,7.76
47101,45982,IMU,0.10,-0.38,7.71,7.72
47201,46082,IMU,0.09,-0.38,7.72,7.73
47301,46182,IMU,0.10,-0.38,7.73,7.74
47401,46282,IMU,0.10,-0.39,7.74,7.75
47501,46382,IMU,0.10,-0.37,7.81,7.82
47601,46482,IMU,0.10,-0.37,7.70,7.71
47701,46582,IMU,0.09,-0.37,7.72,7.73
47801,46682,IMU,0.07,-0.38,7.73,7.74
47901,46782,IMU,0.09,-0.35,7.79,7.80
48001,46882,IMU,0.09,-0.38,7.77,7.78
48101,46982,IMU,0.10,-0.38,7.74,7.75
48201,47082,IMU,0.12,-0.38,7.76,7.77
48301,47182,IMU,0.04,-0.40,7.61,7.62
48401,47282,IMU,0.10,-0.36,7.80,7.81
48501,47382,IMU,0.10,-0.37,7.78,7.79
48601,47482,IMU,0.11,-0.38,7.76,7.77
48782,47663,IMU,0.37,-0.34,8.32,8.34
48801,47682,IMU,0.04,-0.35,7.59,7.60
48901,47782,IMU,0.16,-0.36,7.79,7.80
49001,47882,IMU,0.16,-0.39,7.64,7.65
49101,47982,IMU,0.10,-0.37,7.76,7.77
49201,48082,IMU,0.11,-0.37,7.71,7.72
49301,48182,IMU,0.09,-0.37,7.75,7.76
49401,48282,IMU,0.04,-0.36,7.45,7.45
49501,48382,IMU,0.14,-0.38,7.76,7.77
49601,48482,IMU,0.15,-0.40,7.78,7.79
49701,48582,IMU,0.09,-0.39,7.77,7.78
49800,48682,IMU,0.08,-0.37,7.72,7.73
49900,48782,IMU,0.09,-0.36,7.80,7.81
50000,48882,IMU,0.12,-0.37,7.68,7.69
50100,48982,IMU,0.09,-0.39,7.76,7.77
50200,49082,IMU,0.10,-0.37,7.72,7.73
50300,49182,IMU,0.08,-0.36,7.73,7.74
50400,49282,IMU,0.11,-0.38,7.75,7.76
50500,49382,IMU,0.11,-0.39,7.72,7.73
50600,49482,IMU,0.10,-0.41,7.73,7.74
50782,49663,IMU,0.11,-0.37,7.71,7.72
50800,49682,IMU,0.11,-0.37,7.76,7.77
50900,49782,IMU,0.10,-0.39,7.78,7.79
51000,49882,IMU,0.12,-0.38,7.76,7.77
51100,49982,IMU,0.08,-0.37,7.69,7.70
51200,50082,IMU,0.07,-0.37,7.67,7.68
51300,50182,IMU,0.16,-0.38,7.79,7.80
51400,50282,IMU,0.17,-0.44,7.75,7.76
51500,50382,IMU,0.09,-0.39,7.69,7.70
51600,50482,IMU,0.17,-0.38,8.09,8.10
51700,50582,IMU,0.08,-0.36,7.73,7.74
51800,50682,IMU,0.08,-0.40,7.71,7.72
51900,50782,IMU,0.11,-0.33,7.70,7.71
52000,50882,IMU,0.10,-0.41,7.75,7.77
52100,50982,IMU,0.05,-0.35,7.74,7.74
52200,51082,IMU,0.07,-0.36,7.75,7.75
52300,51182,IMU,-0.09,-0.41,7.03,7.04
52400,51282,IMU,-0.01,-0.26,7.76,7.77
52500,51382,IMU,0.21,-0.46,7.73,7.75
52600,51482,IMU,0.10,-0.37,7.72,7.73
52782,51663,IMU,0.10,-0.37,7.70,7.71
52800,51682,IMU,0.12,-0.40,7.78,7.79
52900,51782,IMU,0.10,-0.36,7.73,7.74
53000,51882,IMU,0.09,-0.38,7.76,7.77
53100,51982,IMU,0.09,-0.40,7.70,7.71
53200,52082,IMU,0.09,-0.38,7.74,7.75
53300,52182,IMU,0.13,-0.37,7.82,7.83
53400,52282,IMU,0.09,-0.38,7.71,7.72
53500,52382,IMU,0.10,-0.39,7.74,7.75
53600,52482,IMU,0.10,-0.36,7.76,7.77
53700,52582,IMU,0.12,-0.38,7.75,7.76
53800,52682,IMU,0.10,-0.38,7.75,7.76
53900,52782,IMU,0.09,-0.38,7.77,7.78
54000,52882,IMU,0.10,-0.37,7.73,7.74
54100,52982,IMU,0.09,-0.40,7.73,7.74
54200,53082,IMU,0.09,-0.37,7.74,7.75
54300,53182,IMU,0.10,-0.38,7.75,7.76
54400,53282,IMU,0.08,-0.36,7.75,7.76
54500,53382,IMU,0.11,-0.38,7.73,7.74
54600,53482,IMU,0.09,-0.38,7.78,7.79
54782,53663,IMU,0.10,-0.37,7.74,7.75
54800,53682,IMU,0.11,-0.36,7.76,7.77
54900,53782,IMU,0.10,-0.37,7.73,7.74
55000,53882,IMU,0.10,-0.39,7.73,7.74
